fuente,date,distance (m),time (s),distance (km),~energy (kcal),time (h:mm:ss),pace (min/km) ,climb (m),cadence (spm),country
https://www.strava.com/activities/5034620822,2021-03-29,3135.7,1293,3.14,292,21:33,6:52,12.1,153.5,Costa Rica
https://www.strava.com/activities/5052652234,2021-04-01 18:47:38,3080.1,1273,3.08,287,21:13:00,6:53,12.1,154.4,Costa Rica
https://www.strava.com/activities/5071139881,2021-04-04 19:54:32,3086.6,1266,3.09,288,21:06:00,6:50,11.9,156.8,Costa Rica
https://www.strava.com/activities/5082345246,2021-04-06 18:21:30,3108.7,1211,3.11,290,20:11:00,6:30,11.9,153.8,Costa Rica
https://www.strava.com/activities/5099140507,2021-04-09 19:06:12,3117.2,1218,3.12,291,20:18:00,6:31,11.9,154.7,Costa Rica
https://www.strava.com/activities/5111847471,2021-04-11 19:04:33,3095.1,1206,3.10,289,20:06:00,6:30,12,155.3,Costa Rica
https://www.strava.com/activities/5123097342,2021-04-13 19:32:26,3084.8,1167,3.08,288,19:27:00,6:18,12,155.2,Costa Rica
https://www.strava.com/activities/5134355710,2021-04-15 19:07:02,3085.4,1142,3.09,288,19:02:00,6:10,12,162.9,Costa Rica
https://www.strava.com/activities/5145530837,2021-04-17 18:47:37,4029.8,1482,4.03,376,24:42:00,6:08,40.1,159.8,Costa Rica
https://www.strava.com/activities/5175306506,2021-04-22 18:05:55,3967.5,1527,3.97,370,25:27:00,6:25,39.8,157.8,Costa Rica
https://www.strava.com/activities/5186935831,2021-04-24 18:33:22,5400,2109,5.40,503,35:09,6:31,51.5,157.8,Costa Rica
https://www.strava.com/activities/5210565929,2021-04-28 18:15:27,3623.6,1325,3.62,338,22:05:00,6:06,38,161.6,Costa Rica
https://www.strava.com/activities/5248501235,2021-05-05 15:47:51,4001.8,1548,4,373,25:48:00,6:27,40.5,160.2,Costa Rica
https://www.strava.com/activities/5259254006,2021-05-07 18:53:00,3074.5,1146,3.07,287,19:06:00,6:13,11.9,162,Costa Rica
https://www.strava.com/activities/5271056186,2021-05-09 18:11:08,6067.9,2350,6.07,566,39:10:00,6:27,59.4,159.4,Costa Rica